date,series,key,value
2026-09-09,freelancer_bids_by_category,status,ok
2026-09-09,freelancer_bids_by_category,python.status,ok
2026-09-09,freelancer_bids_by_category,python.n_projects,50
2026-09-09,freelancer_bids_by_category,python.median_bids,66.5
2026-09-09,freelancer_bids_by_category,python.mean_bids,94.28
2026-09-09,freelancer_bids_by_category,python.p90_bids,216
2026-09-09,freelancer_bids_by_category,python.n_usd_fixed,41
2026-09-09,freelancer_bids_by_category,python.n_under_50usd,7
2026-09-09,freelancer_bids_by_category,python.share_with_budget_under_50usd,0.1707
2026-09-09,freelancer_bids_by_category,javascript.status,ok
2026-09-09,freelancer_bids_by_category,javascript.n_projects,50
2026-09-09,freelancer_bids_by_category,javascript.median_bids,128.0
2026-09-09,freelancer_bids_by_category,javascript.mean_bids,143.08
2026-09-09,freelancer_bids_by_category,javascript.p90_bids,257
2026-09-09,freelancer_bids_by_category,javascript.n_usd_fixed,44
2026-09-09,freelancer_bids_by_category,javascript.n_under_50usd,5
2026-09-09,freelancer_bids_by_category,javascript.share_with_budget_under_50usd,0.1136
2026-09-09,freelancer_bids_by_category,data-entry.status,ok
2026-09-09,freelancer_bids_by_category,data-entry.n_projects,50
2026-09-09,freelancer_bids_by_category,data-entry.median_bids,14.0
2026-09-09,freelancer_bids_by_category,data-entry.mean_bids,28.66
2026-09-09,freelancer_bids_by_category,data-entry.p90_bids,80
2026-09-09,freelancer_bids_by_category,data-entry.n_usd_fixed,30
2026-09-09,freelancer_bids_by_category,data-entry.n_under_50usd,5
2026-09-09,freelancer_bids_by_category,data-entry.share_with_budget_under_50usd,0.1667
2026-09-09,freelancer_bids_by_category,wordpress.status,ok
2026-09-09,freelancer_bids_by_category,wordpress.n_projects,50
2026-09-09,freelancer_bids_by_category,wordpress.median_bids,160.0
2026-09-09,freelancer_bids_by_category,wordpress.mean_bids,192.04
2026-09-09,freelancer_bids_by_category,wordpress.p90_bids,380
2026-09-09,freelancer_bids_by_category,wordpress.n_usd_fixed,40
2026-09-09,freelancer_bids_by_category,wordpress.n_under_50usd,7
2026-09-09,freelancer_bids_by_category,wordpress.share_with_budget_under_50usd,0.175
2026-09-09,freelancer_bids_by_category,web-scraping.status,ok
2026-09-09,freelancer_bids_by_category,web-scraping.n_projects,50
2026-09-09,freelancer_bids_by_category,web-scraping.median_bids,46.0
2026-09-09,freelancer_bids_by_category,web-scraping.mean_bids,66.16
2026-09-09,freelancer_bids_by_category,web-scraping.p90_bids,162
2026-09-09,freelancer_bids_by_category,web-scraping.n_usd_fixed,39
2026-09-09,freelancer_bids_by_category,web-scraping.n_under_50usd,10
2026-09-09,freelancer_bids_by_category,web-scraping.share_with_budget_under_50usd,0.2564
2026-09-09,freelancer_bids_by_category,graphic-design.status,ok
2026-09-09,freelancer_bids_by_category,graphic-design.n_projects,50
2026-09-09,freelancer_bids_by_category,graphic-design.median_bids,45.0
2026-09-09,freelancer_bids_by_category,graphic-design.mean_bids,67.43
2026-09-09,freelancer_bids_by_category,graphic-design.p90_bids,147
2026-09-09,freelancer_bids_by_category,graphic-design.n_usd_fixed,41
2026-09-09,freelancer_bids_by_category,graphic-design.n_under_50usd,9
2026-09-09,freelancer_bids_by_category,graphic-design.share_with_budget_under_50usd,0.2195
2026-09-09,freelancer_bids_by_category,copywriting.status,ok
2026-09-09,freelancer_bids_by_category,copywriting.n_projects,50
2026-09-09,freelancer_bids_by_category,copywriting.median_bids,36
2026-09-09,freelancer_bids_by_category,copywriting.mean_bids,43.49
2026-09-09,freelancer_bids_by_category,copywriting.p90_bids,80
2026-09-09,freelancer_bids_by_category,copywriting.n_usd_fixed,30
2026-09-09,freelancer_bids_by_category,copywriting.n_under_50usd,10
2026-09-09,freelancer_bids_by_category,copywriting.share_with_budget_under_50usd,0.3333
2026-09-09,freelancer_bids_by_category,video-editing.status,ok
2026-09-09,freelancer_bids_by_category,video-editing.n_projects,50
2026-09-09,freelancer_bids_by_category,video-editing.median_bids,19.0
2026-09-09,freelancer_bids_by_category,video-editing.mean_bids,26.52
2026-09-09,freelancer_bids_by_category,video-editing.p90_bids,50
2026-09-09,freelancer_bids_by_category,video-editing.n_usd_fixed,42
2026-09-09,freelancer_bids_by_category,video-editing.n_under_50usd,15
2026-09-09,freelancer_bids_by_category,video-editing.share_with_budget_under_50usd,0.3571
2026-09-09,freelancer_bids_by_category,all.n_projects,400
2026-09-09,freelancer_bids_by_category,all.median_bids,47
2026-09-09,freelancer_bids_by_category,all.mean_bids,83.41
2026-09-09,freelancer_bids_by_category,all.p90_bids,212
2026-09-09,exit_listing_ai_share,status,ok
2026-09-09,exit_listing_ai_share,microns.status,ok
2026-09-09,exit_listing_ai_share,microns.n_listings,9
2026-09-09,exit_listing_ai_share,microns.n_ai,5
2026-09-09,exit_listing_ai_share,microns.share_ai,0.5556
2026-09-09,exit_listing_ai_share,indiemaker.status,ok
2026-09-09,exit_listing_ai_share,indiemaker.n_listings,12
2026-09-09,exit_listing_ai_share,indiemaker.n_ai,7
2026-09-09,exit_listing_ai_share,indiemaker.share_ai,0.5833
2026-09-09,exit_listing_ai_share,buymicrostartups.status,ok
2026-09-09,exit_listing_ai_share,buymicrostartups.n_listings,4
2026-09-09,exit_listing_ai_share,buymicrostartups.n_ai,1
2026-09-09,exit_listing_ai_share,buymicrostartups.share_ai,0.25
2026-09-09,exit_listing_ai_share,acquirebase.status,ok
2026-09-09,exit_listing_ai_share,acquirebase.n_listings,18
2026-09-09,exit_listing_ai_share,acquirebase.n_ai,10
2026-09-09,exit_listing_ai_share,acquirebase.share_ai,0.5556
2026-09-09,exit_listing_ai_share,all.n_sites_ok,4
2026-09-09,exit_listing_ai_share,all.n_listings,43
2026-09-09,exit_listing_ai_share,all.n_ai,23
2026-09-09,exit_listing_ai_share,all.share_ai,0.5349
2026-09-09,github_bounty_synthetic_share,status,ok
2026-09-09,github_bounty_synthetic_share,total_count_reported,4323
2026-09-09,github_bounty_synthetic_share,n_issues,100
2026-09-09,github_bounty_synthetic_share,n_distinct_repos,10
2026-09-09,github_bounty_synthetic_share,n_synthetic_issues,78
2026-09-09,github_bounty_synthetic_share,synthetic_share,0.78
2026-09-09,github_bounty_synthetic_share,n_synthetic_repos,5
2026-09-09,github_bounty_synthetic_share,top1_share,0.32
2026-09-09,github_bounty_synthetic_share,top1.repo,zhangjiayang6835-cyber/bounty-plaza
2026-09-09,github_bounty_synthetic_share,top1.n_issues,32
2026-09-09,github_bounty_synthetic_share,top2.repo,aadarwal/swarmstatus-bounties
2026-09-09,github_bounty_synthetic_share,top2.n_issues,31
2026-09-09,github_bounty_synthetic_share,top3.repo,relayhop/sn-monetization-runtime
2026-09-09,github_bounty_synthetic_share,top3.n_issues,11
2026-09-09,github_bounty_synthetic_share,top4.repo,Senthemodder/claude-bounties
2026-09-09,github_bounty_synthetic_share,top4.n_issues,9
2026-09-09,github_bounty_synthetic_share,top5.repo,Ikalus1988/MisakaNet
2026-09-09,github_bounty_synthetic_share,top5.n_issues,8
2026-09-09,hn_supply_demand,status,ok
2026-09-09,hn_supply_demand,thread_id,49522905
2026-09-09,hn_supply_demand,month,September 2026
2026-09-09,hn_supply_demand,n_top_level,18
2026-09-09,hn_supply_demand,seeking_work,17
2026-09-09,hn_supply_demand,seeking_freelancer,0
2026-09-09,hn_supply_demand,other,1
2026-09-09,hn_supply_demand,seeking_work_share,1.0
2026-09-10,freelancer_bids_by_category,status,ok
2026-09-10,freelancer_bids_by_category,python.status,ok
2026-09-10,freelancer_bids_by_category,python.n_projects,50
2026-09-10,freelancer_bids_by_category,python.median_bids,67
2026-09-10,freelancer_bids_by_category,python.mean_bids,91.92
2026-09-10,freelancer_bids_by_category,python.p90_bids,182
2026-09-10,freelancer_bids_by_category,python.n_usd_fixed,38
2026-09-10,freelancer_bids_by_category,python.n_under_50usd,9
2026-09-10,freelancer_bids_by_category,python.share_with_budget_under_50usd,0.2368
2026-09-10,freelancer_bids_by_category,javascript.status,ok
2026-09-10,freelancer_bids_by_category,javascript.n_projects,50
2026-09-10,freelancer_bids_by_category,javascript.median_bids,90.5
2026-09-10,freelancer_bids_by_category,javascript.mean_bids,125.6
