ts,source,key,url,http,sha16,title,status,budget,price,orig_price,reduced,bids,avg_bid,awarded_to,time_left,reserve
2026-09-09T06:21:57+00:00,freelancer,gbstudio-overlay,https://www.freelancer.com/projects/game-development/gbstudio-overlay-image-integration,200,39dabb0ca16f27f8,GBStudio Overlay Image Integration | Freelancer,,$30-250,,,,34,,,,
2026-09-09T06:21:57+00:00,freelancer,windows-cis-hardening,https://www.freelancer.com/projects/windows-server/windows-cis-hardening,200,b22773a966041610,Windows 2025 CIS Hardening | Freelancer,,$10-30,,,,7,,,,
2026-09-09T06:21:57+00:00,freelancer,sheets-call-routing,https://www.freelancer.com/projects/google-sheets/google-sheets-call-routing-automation,200,c241e96e38686485,Google Sheets Call Routing Automation | Freelancer,,£20-250,,,,109,,,,
2026-09-09T06:21:57+00:00,freelancer,composer-dag,https://www.freelancer.com/projects/data-processing/composer-dag-for-data-ingestion,200,4cf78842a4ddc938,Composer DAG for Data Ingestion Pipeline | Freelancer,,$250-750,,,,7,,,,
2026-09-09T06:21:57+00:00,freelancer,import-pdf-bank,https://www.freelancer.com/projects/google-sheets/import-pdf-bank-transactions,200,665c71b59364f730,Import PDF Bank Transactions | Freelancer,,$10-30,,,,57,,,,
2026-09-09T06:21:57+00:00,freelancer,fix-bing-indexing,https://www.freelancer.com/projects/seo/fix-bing-indexing-issue,200,e0cb4e0e23cf89ea,Fix Bing Indexing Issue | Freelancer,,$50-100,,,,33,,,,
2026-09-09T06:21:57+00:00,freelancer,winomkar-data-entry,https://www.freelancer.com/projects/automation/automate-winomkar-data-entry,200,7b07992c46b3628d,Automate Winomkar Data Entry | Freelancer,,$250-750,,,,36,,,,
2026-09-09T06:21:57+00:00,flippa,remote-work-rebels,https://flippa.com/12761258,200,d2b5d7efa86d58b4,Remote Work Rebels: Established… | Website for Sale on Flippa,,,"$9,639","$11,900",Reduced 19%,,,,,
2026-09-09T06:21:57+00:00,flippa,concealed-carry-society,https://flippa.com/13446183,200,8bc27dbdf2ebb2bc,Concealed Carry Society… | Website for Sale on Flippa,,,"$7,290","$24,999",Reduced 71%,,,,,
2026-09-09T06:21:57+00:00,flippa,my-kind-of-meeple,https://flippa.com/13816202,200,44f4a4cdd3c2f821,My Kind of Meeple: Offers detailed… | Website for Sale on Flippa,,,"$15,000",,,1,,,16 days left,
2026-09-09T06:21:57+00:00,flippa,cofonts,https://flippa.com/13706273,200,c52932cf94f54dd4,"Cofonts: Cofonts.com | $1,068/mo… | Website for Sale on Flippa",,,"$11,500",,,11,,,1 day left,Reserve not met
2026-09-09T06:21:57+00:00,flippa,new-york-events,https://flippa.com/13933449,200,942b99d480c70cf3,Speisekartemenus.de… | Website for Sale on Flippa,,,"$4,400",,,2,,,28 days left,Reserve not met
2026-09-09T06:21:57+00:00,flippa,flippa-11226620,https://flippa.com/11226620,200,f7b60d850fef79fd,Trade Scape: Highly… | Service Business Listing Ended on Flippa,,,,,,,,,,
2026-09-09T06:21:57+00:00,flippa,flippa-11836890,https://flippa.com/11836890,200,e3881a5854413c6c,Trade Scape: Highly… | Service Business for Sale on Flippa,,,"$5,000","$7,500",Reduced 33%,,,,,
2026-09-09T06:21:57+00:00,flippa,flippa-12005809,https://flippa.com/12005809,200,49000cf29b8a19aa,MyWWList: Passive 99% margin weight… | Website for Sale on Flippa,,,"$3,000",,,,,,,
2026-09-09T06:21:57+00:00,flippa,flippa-12286007,https://flippa.com/12286007,200,6981a4a190aa0ccf,The Grace: Highly profitable South… | Website for Sale on Flippa,,,"$8,000",,,,,,,
2026-09-09T06:21:57+00:00,flippa,flippa-12383685,https://flippa.com/12383685,200,4a828df4d091a43a,Massage Chairs and… | Ecommerce Store for Sale on Flippa,,,"$5,500","$80,000",Reduced 93%,,,,,
2026-09-09T06:21:57+00:00,flippa,flippa-12884918,https://flippa.com/12884918,200,2672c549d41f8e37,Cameronjournal.com: 12-Year… | Website for Sale on Flippa,,,,,,6,,,3 days left,
2026-09-09T06:21:57+00:00,flippa,flippa-13463497,https://flippa.com/13463497,200,01747ecad3cff78b,3D TrueDepth Camera Scan: 3D… | iOS App for Sale on Flippa,,,"$3,150","$5,500",Reduced 43%,,,,,
2026-09-09T06:21:57+00:00,flippa,flippa-13551982,https://flippa.com/13551982,200,d7a4eb6f2fea3494,Hemp Heals Foundation: Established… | Website for Sale on Flippa,,,"$6,479","$7,199",Reduced 10%,,,,,
2026-09-10T03:45:45+00:00,freelancer,gbstudio-overlay,https://www.freelancer.com/projects/game-development/gbstudio-overlay-image-integration,404,,,,,,,,,,,,
2026-09-10T03:45:45+00:00,freelancer,windows-cis-hardening,https://www.freelancer.com/projects/windows-server/windows-cis-hardening,200,ee52a940af763ea2,Windows 2025 CIS Hardening | Freelancer,,$10-30,,,,3,,,,
2026-09-10T03:45:45+00:00,freelancer,sheets-call-routing,https://www.freelancer.com/projects/google-sheets/google-sheets-call-routing-automation,200,752caff9915ae703,Google Sheets Call Routing Automation | Freelancer,,£20-250,,,,108,,,,
2026-09-10T03:45:45+00:00,freelancer,composer-dag,https://www.freelancer.com/projects/data-processing/composer-dag-for-data-ingestion,200,5d6861bb2a668762,Composer DAG for Data Ingestion Pipeline | Freelancer,,€18-36,,,,8,,,,
2026-09-10T03:45:45+00:00,freelancer,import-pdf-bank,https://www.freelancer.com/projects/google-sheets/import-pdf-bank-transactions,200,af932beb08449674,Import PDF Bank Transactions | Freelancer,,$10-30,,,,68,,,,
2026-09-10T03:45:45+00:00,freelancer,fix-bing-indexing,https://www.freelancer.com/projects/seo/fix-bing-indexing-issue,200,e0cb4e0e23cf89ea,Fix Bing Indexing Issue | Freelancer,,$50-100,,,,33,,,,
2026-09-10T03:45:45+00:00,freelancer,winomkar-data-entry,https://www.freelancer.com/projects/automation/automate-winomkar-data-entry,200,cc61343ce58efc04,Automate Winomkar Data Entry | Freelancer,,$25-50,,,,39,,,,
2026-09-10T03:45:45+00:00,flippa,remote-work-rebels,https://flippa.com/12761258,200,466fd70d1333b4d4,Remote Work Rebels: Established… | Website for Sale on Flippa,,,"$9,639","$11,900",Reduced 19%,,,,,
2026-09-10T03:45:45+00:00,flippa,concealed-carry-society,https://flippa.com/13446183,200,5164a9ff7d943823,Concealed Carry Society… | Website for Sale on Flippa,,,"$7,290","$24,999",Reduced 71%,,,,,
2026-09-10T03:45:45+00:00,flippa,my-kind-of-meeple,https://flippa.com/13816202,200,430fc0c8d2a2f4ca,My Kind of Meeple: Offers detailed… | Website for Sale on Flippa,,,"$15,000",,,1,,,15 days left,
2026-09-10T03:45:45+00:00,flippa,cofonts,https://flippa.com/13706273,200,cdeeb8ed1ab80231,"Cofonts: Cofonts.com | $1,068/mo… | Website for Sale on Flippa",,,,,,12,,,14 hours left,
2026-09-10T03:45:45+00:00,flippa,flippa-13933449-speisekarte-NOT-nyevents,https://flippa.com/13933449,200,521839e524f9a1bb,Speisekartemenus.de… | Website for Sale on Flippa,,,"$4,400",,,3,,,27 days left,Reserve not met
2026-09-10T03:45:45+00:00,flippa,flippa-11226620,https://flippa.com/11226620,200,4f44e67b16847850,Trade Scape: Highly… | Service Business Listing Ended on Flippa,,,,,,,,,,
2026-09-10T03:45:45+00:00,flippa,flippa-11836890,https://flippa.com/11836890,200,92391925f75de491,Trade Scape: Highly… | Service Business for Sale on Flippa,,,"$5,000","$7,500",Reduced 33%,,,,,
2026-09-10T03:45:45+00:00,flippa,flippa-12005809,https://flippa.com/12005809,200,31675eb461c0352d,MyWWList: Passive 99% margin weight… | Website for Sale on Flippa,,,"$3,000",,,,,,,
2026-09-10T03:45:45+00:00,flippa,flippa-12286007,https://flippa.com/12286007,200,deafa3179c1d3bad,The Grace: Highly profitable South… | Website for Sale on Flippa,,,"$8,000",,,,,,,
2026-09-10T03:45:45+00:00,flippa,flippa-12383685,https://flippa.com/12383685,200,dcb8b6a90a3da351,Massage Chairs and… | Ecommerce Store for Sale on Flippa,,,"$5,500","$80,000",Reduced 93%,,,,,
2026-09-10T03:45:45+00:00,flippa,flippa-12884918,https://flippa.com/12884918,200,86394c3b4871b6f9,Cameronjournal.com: 12-Year… | Website for Sale on Flippa,,,,,,6,,,3 days left,
2026-09-10T03:45:45+00:00,flippa,flippa-13463497,https://flippa.com/13463497,200,ff8c9aa007c26a5f,3D TrueDepth Camera Scan: 3D… | iOS App for Sale on Flippa,,,"$3,150","$5,500",Reduced 43%,,,,,
2026-09-10T03:45:45+00:00,flippa,flippa-13551982,https://flippa.com/13551982,200,2c75de39d8f6ae92,Hemp Heals Foundation: Established… | Website for Sale on Flippa,,,"$6,479","$7,199",Reduced 10%,,,,,
2026-09-10T03:48:37+00:00,freelancer,gbstudio-overlay,https://www.freelancer.com/projects/game-development/gbstudio-overlay-image-integration,404,,,,,,,,,,,,
2026-09-10T03:48:37+00:00,freelancer,windows-cis-hardening,https://www.freelancer.com/projects/windows-server/windows-cis-hardening,200,6247615da1127328,Windows 2025 CIS Hardening | Freelancer,,$10-30,,,,9,,,,
2026-09-10T03:48:37+00:00,freelancer,sheets-call-routing,https://www.freelancer.com/projects/google-sheets/google-sheets-call-routing-automation,200,bf0fe4ce3d4f1bbd,Google Sheets Call Routing Automation | Freelancer,,£20-250,,,,78,,,,
2026-09-10T03:48:37+00:00,freelancer,composer-dag,https://www.freelancer.com/projects/data-processing/composer-dag-for-data-ingestion,200,206a627d1a59c2a9,Composer DAG for Data Ingestion Pipeline | Freelancer,,$250-750,,,,8,,,,
2026-09-10T03:48:37+00:00,freelancer,import-pdf-bank,https://www.freelancer.com/projects/google-sheets/import-pdf-bank-transactions,200,9d46a84f9fec09fc,Import PDF Bank Transactions | Freelancer,,$10-30,,,,68,,,,
2026-09-10T03:48:37+00:00,freelancer,fix-bing-indexing,https://www.freelancer.com/projects/seo/fix-bing-indexing-issue,200,46ce8fc4ae44ef36,Fix Bing Indexing Issue | Freelancer,,$250-750,,,,34,,,,
2026-09-10T03:48:37+00:00,freelancer,winomkar-data-entry,https://www.freelancer.com/projects/automation/automate-winomkar-data-entry,200,4252886b43b9e16f,Automate Winomkar Data Entry | Freelancer,,£20-250,,,,15,,,,
2026-09-10T03:48:37+00:00,flippa,remote-work-rebels,https://flippa.com/12761258,200,2874ba9ae7902b3c,Remote Work Rebels: Established… | Website for Sale on Flippa,,,"$9,639","$11,900",Reduced 19%,,,,,
2026-09-10T03:48:37+00:00,flippa,concealed-carry-society,https://flippa.com/13446183,200,80f7cb03ce1f8468,Concealed Carry Society… | Website for Sale on Flippa,,,"$7,290","$24,999",Reduced 71%,,,,,
2026-09-10T03:48:37+00:00,flippa,my-kind-of-meeple,https://flippa.com/13816202,200,69a6026c42c32f40,My Kind of Meeple: Offers detailed… | Website for Sale on Flippa,,,"$15,000",,,1,,,15 days left,
2026-09-10T03:48:37+00:00,flippa,cofonts,https://flippa.com/13706273,200,a89b58776074eaa4,"Cofonts: Cofonts.com | $1,068/mo… | Website for Sale on Flippa",,,,,,12,,,14 hours left,
2026-09-10T03:48:37+00:00,flippa,flippa-13933449-speisekarte-NOT-nyevents,https://flippa.com/13933449,200,99c2dc5a91951b86,Speisekartemenus.de… | Website for Sale on Flippa,,,"$4,400",,,3,,,27 days left,Reserve not met
2026-09-10T03:48:37+00:00,flippa,flippa-11226620,https://flippa.com/11226620,200,05749fe3e0913e31,Trade Scape: Highly… | Service Business Listing Ended on Flippa,,,,,,,,,,
2026-09-10T03:48:37+00:00,flippa,flippa-11836890,https://flippa.com/11836890,200,60ee92844e8d0603,Trade Scape: Highly… | Service Business for Sale on Flippa,,,"$5,000","$7,500",Reduced 33%,,,,,
2026-09-10T03:48:37+00:00,flippa,flippa-12005809,https://flippa.com/12005809,200,03bd927d62b52a56,MyWWList: Passive 99% margin weight… | Website for Sale on Flippa,,,"$3,000",,,,,,,
2026-09-10T03:48:37+00:00,flippa,flippa-12286007,https://flippa.com/12286007,200,e1805e3865b143dd,The Grace: Highly profitable South… | Website for Sale on Flippa,,,"$8,000",,,,,,,
2026-09-10T03:48:37+00:00,flippa,flippa-12383685,https://flippa.com/12383685,200,c1cc778e4a66fcf5,Massage Chairs and… | Ecommerce Store for Sale on Flippa,,,"$5,500","$80,000",Reduced 93%,,,,,
2026-09-10T03:48:37+00:00,flippa,flippa-12884918,https://flippa.com/12884918,200,5172a2f38199743d,Cameronjournal.com: 12-Year… | Website for Sale on Flippa,,,,,,6,,,3 days left,
